id 	 date 	 amount-paid 	 views 	 city 	 state 	         department 	 transaction 
206057	2019-05-14	5500	7	Adityapur	Jharkhand	null	Others
206051	2019-05-14	140000	8	Bangalore	Karnataka	null	Building-and-Housing
206022	2019-05-13	1000	41	Hyderabad	Telangana	Education	College-Leaving-Certificate
205996	2019-05-13	500	36	Adilabad	Telangana	null	Others
205985	2019-05-13	100000	46	Katni	MadhyaPradesh	null	Certificates
205983	2019-05-13	3000	38	Adityapur	Jharkhand	null	Others
205979	2019-05-13	2200	68	Adoni	AndhraPradesh	null	Others
205936	2019-05-12	2000	67	Kolkata	WestBengal	null	Registrations-and-Licenses
205849	2019-05-11	100	123	Bangalore	Karnataka	null	Verification-and-Certificates
205745	2019-05-09	32000	163	Bulandshahr	UttarPradesh	null	Land-Related
205707	2019-05-09	15000	193	Kanchipuram	TamilNadu	Municipal-Services	Aadhaar-Card-Process
205608	2019-05-08	2200	193	Balaghat	MadhyaPradesh	null	Others
205571	2019-05-08	200	276	Bangalore	Karnataka	null	Property-Registration
205559	2019-05-07	100000	194	Etawah	UttarPradesh	Insurance	Health-Insurance
205558	2019-05-07	20000	192	Yamunanagar	Haryana	null	Government-Personnel
205522	2019-05-07	5500	223	Adari	UttarPradesh	Others	Others
205519	2019-05-07	1000	220	Bangalore	Karnataka	null	Certificates
205515	2019-05-07	5500	184	Adityapur	Jharkhand	null	Others
205511	2019-05-07	4000	169	NewDelhi	Delhi	null	Vehicle-Fitness
205506	2019-05-07	9866	119	Adityapur	Jharkhand	null	Others
205479	2019-05-07	123	129	Adari	UttarPradesh	null	Registrations-and-Licenses
205468	2019-05-06	100	109	Adityapur	Jharkhand	null	Registrations-and-Licenses
205457	2019-05-06	40	158	Chitradurga	Karnataka	null	Pension-Processing
205448	2019-05-06	400000	110	Bellary	Karnataka	Education	College-Leaving-Certificate
205415	2019-05-06	10000	126	Lucknow	UttarPradesh	null	Excise
205301	2019-05-04	3000	202	Bangalore	Karnataka	Transport	Entry-Tax
205298	2019-05-04	700	166	Ranchi	Jharkhand	null	Health-Services
205293	2019-05-04	90	182	Deoria	UttarPradesh	Others	Others
205089	2019-05-02	1500	258	Guntur	AndhraPradesh	null	Certificates
205045	2019-05-01	1500	258	Hardoi	UttarPradesh	null	Driving-Licenses-and-Tests
205021	2019-05-01	800	300	Surat	Gujarat	Railways	Traveling-without-Ticket
204995	2019-05-01	2562	229	Adilabad	Telangana	null	Others
204934	2019-04-30	10000	277	Pune	Maharashtra	null	FIR-and-Complaints
204923	2019-04-30	1500	245	Yavatmal	Maharashtra	null	Property-Registration
204913	2019-04-30	60000	262	Chennai	TamilNadu	null	Property-Registration
204903	2019-04-30	25899	197	Jaggaiahpet	AndhraPradesh	null	Others
204880	2019-04-30	2505	207	Achhnera	UttarPradesh	null	Others
204870	2019-04-30	2205	348	Adilabad	Telangana	Others	Others
204860	2019-04-30	500	175	Bangalore	Karnataka	null	Employee-State-Insurance
204702	2019-04-28	1500	218	Coimbatore	TamilNadu	null	Traffic-Fines,-Penalties,-Rules
204691	2019-04-28	1500	182	Coimbatore	TamilNadu	null	FIR-and-Complaints
204339	2019-04-25	220	327	Noida	UttarPradesh	null	Health-and-Family
204297	2019-04-24	500	432	Bangalore	Karnataka	Transport	Entry-Tax
204235	2019-04-24	1200	352	Adilabad	Telangana	null	Others
204136	2019-04-23	200	331	Adityapur	Jharkhand	null	Others
204128	2019-04-23	2200	329	Achhnera	UttarPradesh	null	Others
204125	2019-04-23	100	346	Vellore	TamilNadu	null	Driving-Licenses-and-Tests
204121	2019-04-23	2200	363	Adari	UttarPradesh	null	Others
204054	2019-04-22	42000	408	Bangalore	Karnataka	null	Property-Registration
204047	2019-04-22	300	308	Muzaffarpur	Bihar	null	Post-and-Parcel
203881	2019-04-21	300	491	Tuticorin	TamilNadu	Police	Police-Verification-for-Passport
203834	2019-04-20	1000	320	Bangalore	Karnataka	null	Domicile-and-Residence
203735	2019-04-19	140	379	Tumkur	Karnataka	Police	Lodging-Police-Complaint
203724	2019-04-19	1000	349	Chennai	TamilNadu	null	Services
203638	2019-04-18	2200	404	Adari	UttarPradesh	null	Others
203625	2019-04-18	2200	348	Achhnera	UttarPradesh	null	Others
203493	2019-04-16	34000	433	Abohar	Punjab	Bureau-of-Immigration	Business-Visa
203452	2019-04-16	2200	373	Abhayapuri	Assam	null	Others
203428	2019-04-16	2500	368	Adoni	AndhraPradesh	null	Others
203411	2019-04-16	150	405	Chennai	TamilNadu	null	Services
203346	2019-04-15	2200	342	NewDelhi	Delhi	null	Others
203326	2019-04-15	10000	423	Ranchi	Jharkhand	Passport	Police-Clearance-Certificate
203121	2019-04-12	100000	408	Bathinda	Punjab	null	Services
203098	2019-04-12	2500	413	Adari	UttarPradesh	null	Others
203095	2019-04-12	2500	366	Agartala	Tripura	null	Others
203070	2019-04-12	14700	470	Harda	MadhyaPradesh	null	Property-Registration
203058	2019-04-12	2200	369	Adari	UttarPradesh	null	Others
203052	2019-04-12	300000	339	Bellary	Karnataka	null	Certificates
203048	2019-04-12	3000	364	Thane	Maharashtra	null	Traffic-Fines,-Penalties,-Rules
203041	2019-04-12	300000	350	Bellary	Karnataka	null	Certificates
203040	2019-04-12	500	282	Kalyan	Maharashtra	null	Policies-and-Procedures
202995	2019-04-11	500000	325	Gurgaon	Haryana	null	Building-and-Housing
202989	2019-04-11	25000	279	Bangalore	Karnataka	null	Building-and-Housing
202804	2019-04-09	1500	289	Muktsar	Punjab	null	Number-Plates-and-Vehicle-Registration
202795	2019-04-09	2200	314	Adilabad	Telangana	null	Others
202777	2019-04-09	2222	344	Adari	UttarPradesh	Banking	Loan-Sanctioning
202724	2019-04-08	1000	364	Peravurani	TamilNadu	Others	Others
202703	2019-04-08	22000	334	NewDelhi	Delhi	null	Others
202680	2019-04-08	2600	361	Achhnera	UttarPradesh	null	Others
202590	2019-04-07	1000	376	Bangalore	Karnataka	null	Issue-and-Renewal-of-Passport
202589	2019-04-07	1000	359	Bangalore	Karnataka	null	Issue-and-Renewal-of-Passport
202539	2019-04-07	15000	290	Gulbarga	Karnataka	null	Property-Registration
202537	2019-04-07	600	265	Gulbarga	Karnataka	null	null
